id,event,price,pricePerSquareFoot,city,state,zipcode,parking,homeType,county
90502-21288547,Listed for sale,699000,542,Torrance,CA,90502,1,SINGLE_FAMILY,Los Angeles County
90746-21251023,Listed for sale,699000,463,Carson,CA,90746,1,SINGLE_FAMILY,Los Angeles County
90745-63093335,Listed for sale,650000,436,Carson,CA,90745,1,SINGLE_FAMILY,Los Angeles County
90745-21254894,Listed for sale,735000,369,Carson,CA,90745,1,SINGLE_FAMILY,Los Angeles County
90745-2069751491,Listed for sale,375000,536,Carson,CA,90745,1,CONDO,Los Angeles County
90746-21261150,Listed for sale,710000,435,Carson,CA,90746,1,SINGLE_FAMILY,Los Angeles County
90745-2069772673,Listed for sale,365000,521,Carson,CA,90745,1,CONDO,Los Angeles County
90745-250347152,Listed for sale,789000,455,Carson,CA,90745,1,SINGLE_FAMILY,Los Angeles County
90745-21287505,Listed for sale,675000,501,Carson,CA,90745,1,SINGLE_FAMILY,Los Angeles County
90745-21257097,Listed for sale,560000,508,Carson,CA,90745,1,SINGLE_FAMILY,Los Angeles County
90746-21251116,Listed for sale,829000,461,Carson,CA,90746,1,SINGLE_FAMILY,Los Angeles County
90745-21258057,Listed for sale,685000,475,Carson,CA,90745,1,SINGLE_FAMILY,Los Angeles County
90810-21249164,Listed for sale,499999,629,Carson,CA,90810,1,SINGLE_FAMILY,Los Angeles County
90746-21252637,Listed for sale,740000,520,Carson,CA,90746,1,SINGLE_FAMILY,Los Angeles County
90746-21251762,Listed for sale,725000,343,Carson,CA,90746,1,SINGLE_FAMILY,Los Angeles County
90502-145643839,Listed for sale,899000,437,Torrance,CA,90502,1,SINGLE_FAMILY,Los Angeles County
90746-21252133,Listed for sale,650000,359,Carson,CA,90746,0,SINGLE_FAMILY,Los Angeles County
90745-2092143403,Listed for sale,309200,444,Carson,CA,90745,1,CONDO,Los Angeles County
90745-21257816,Listed for sale,699000,384,Carson,CA,90745,1,SINGLE_FAMILY,Los Angeles County
90746-21260537,Listed for sale,630000,639,Carson,CA,90746,0,SINGLE_FAMILY,Los Angeles County
90502-21287941,Listed for sale,415000,487,Torrance,CA,90502,1,CONDO,Los Angeles County
90802-79803061,Listed for sale,700000,395,Long Beach,CA,90802,1,TOWNHOUSE,Los Angeles County
90802-21233469,Listed for sale,1600000,336,Long Beach,CA,90802,1,MULTI_FAMILY,Los Angeles County
90802-136192660,Listed for sale,424000,1024,Long Beach,CA,90802,0,CONDO,Los Angeles County
90802-21241209,Listed for sale,414500,592,Long Beach,CA,90802,0,CONDO,Los Angeles County
90802-21236385,Listed for sale,399000,542,Long Beach,CA,90802,1,CONDO,Los Angeles County
90802-21232092,Listed for sale,429000,489,Long Beach,CA,90802,0,CONDO,Los Angeles County
90802-21229184,Listed for sale,1100000,470,Long Beach,CA,90802,1,SINGLE_FAMILY,Los Angeles County
90802-21241145,Listed for sale,725000,618,Long Beach,CA,90802,0,SINGLE_FAMILY,Los Angeles County
90802-21239792,Listed for sale,399900,389,Long Beach,CA,90802,1,CONDO,Los Angeles County
90802-21240868,Listed for sale,399900,526,Long Beach,CA,90802,1,CONDO,Los Angeles County
90802-302796758,Listed for sale,849000,477,Long Beach,CA,90802,1,TOWNHOUSE,Los Angeles County
90802-250343282,Listed for sale,1495000,642,Long Beach,CA,90802,1,MULTI_FAMILY,Los Angeles County
90802-21232331,Listed for sale,650000,479,Long Beach,CA,90802,1,CONDO,Los Angeles County
90802-82868651,Listed for sale,599900,682,Long Beach,CA,90802,1,CONDO,Los Angeles County
90802-21240127,Listed for sale,660000,646,Long Beach,CA,90802,0,CONDO,Los Angeles County
90802-21231978,Listed for sale,349000,448,Long Beach,CA,90802,0,CONDO,Los Angeles County
90802-111371089,Listed for sale,425000,518,Long Beach,CA,90802,0,CONDO,Los Angeles County
90802-21232288,Listed for sale,899900,563,Long Beach,CA,90802,1,SINGLE_FAMILY,Los Angeles County
90802-21239500,Listed for sale,419999,439,Long Beach,CA,90802,1,CONDO,Los Angeles County
90802-2116475116,Listed for sale,7050000,0,Long Beach,CA,90802,0,MULTI_FAMILY,Los Angeles County
90802-60763447,Listed for sale,500000,506,Long Beach,CA,90802,1,CONDO,Los Angeles County
90035-79798442,Listed for sale,1079000,510,Los Angeles,CA,90035,0,CONDO,Los Angeles County
90069-20799291,Listed for sale,17995000,1911,Los Angeles,CA,90069,1,SINGLE_FAMILY,Los Angeles County
90046-20797766,Listed for sale,1595000,1070,Los Angeles,CA,90046,0,SINGLE_FAMILY,Los Angeles County
90024-2096693584,Listed for sale,4500000,380,Los Angeles,CA,90024,1,MULTI_FAMILY,Los Angeles County
90210-20522042,Listed for sale,15495000,2257,Beverly Hills,CA,90210,1,SINGLE_FAMILY,Los Angeles County
90210-20523181,Listed for sale,2799000,1205,Beverly Hills,CA,90210,0,SINGLE_FAMILY,Los Angeles County
